DATE (MM/DD/YYYY),HOUR-PST,Avg Global Horizontal [W/m^2],Avg Direct Normal [W/m^2],Avg Diffuse Horizontal [W/m^2],Avg Global (secondary) [W/m^2],Avg Global (uncorrected) [W/m^2],Avg Direct (uncorrected) [W/m^2],Avg Diffuse (uncorrected) [W/m^2],Avg Air Temperature [deg C],Avg Rel Humidity [%],Avg Avg Wind Speed @ 3m [m/s],Avg Station Pressure [mBar],Avg Precipitation [mm],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Avg CR1000 Temp [deg C],Avg RSR Battery [VDC]
5/5/2015,12,621.5407,629.8058,23.3627,609.4633,616.6113,649.2140,0.0000,18.3315,65.5271,2.8201,1010.0000,0.0000,18.2265,171.0500,23.4915,8.9741
5/5/2015,13,656.6633,33.2300,625.2612,645.5590,653.1778,43.2358,612.4260,18.7711,62.4860,2.6084,1011.2553,0.0000,20.6123,212.7872,23.6032,11.0838
5/5/2015,14,689.3204,102.3325,602.8710,682.0202,690.3156,120.8353,587.9028,19.0398,60.8647,2.6938,1010.5167,0.0000,28.5638,237.4733,24.0682,13.2100
5/5/2015,15,789.6063,580.0919,341.2611,786.7058,795.4367,621.8625,315.0846,19.4033,61.6755,2.9614,1010.5000,0.0000,39.8655,253.7117,24.8085,13.2608
5/5/2015,16,537.9194,414.8335,276.5259,533.8658,541.4341,455.5197,254.9295,18.9270,63.5628,2.7744,1010.0000,0.0000,52.0447,264.5133,24.5053,13.0885
5/5/2015,17,286.5647,174.0777,206.3628,280.4898,285.6683,203.6891,192.2367,17.8520,67.2350,2.5265,1009.7667,0.0000,64.4412,273.1467,22.7607,12.7873
5/5/2015,18,127.8993,176.5535,94.4874,123.5635,126.3787,210.9377,85.6807,16.9972,71.6317,2.2134,1009.2500,0.0000,76.7297,281.0617,20.4707,11.4030
5/5/2015,19,36.6259,299.4961,3.6193,34.5223,35.3025,320.1611,0.0000,16.3620,74.9600,2.0867,1009.0000,0.0000,83.7000,285.6700,19.2390,9.2300
5/6/2015,13,911.7321,791.6832,198.7848,898.7238,908.5138,819.1432,170.3468,19.4415,63.6470,3.0961,1007.5000,0.0000,24.0045,223.5850,23.8505,9.9530
5/6/2015,14,907.3999,581.9406,398.6730,899.7528,908.7932,615.8205,370.3531,19.5107,63.1638,3.2936,1007.7500,0.0000,28.3853,237.9367,24.6018,12.3702
5/6/2015,15,746.4568,689.5971,216.9472,743.8197,751.5717,729.2470,191.6753,18.9637,65.3063,3.0744,1007.5000,0.0000,39.7242,254.0967,24.3063,13.2412
5/6/2015,16,574.9806,618.1979,193.3403,570.0351,578.2893,660.6926,170.4993,18.2947,66.7308,3.5246,1006.7500,0.0000,51.9175,264.8383,23.1565,13.0885
5/6/2015,17,317.5507,251.3253,197.1133,310.3183,316.5316,281.1149,182.7245,17.5180,68.8423,3.0689,1006.5000,0.0000,64.3150,273.4283,21.9828,12.7227
5/6/2015,18,199.7448,449.5045,77.7923,192.5998,197.2256,488.8084,64.8492,16.7252,70.5176,3.1532,1006.0000,0.0000,73.5820,275.1978,20.2767,10.4159
5/7/2015,11,880.3215,721.6232,225.0179,867.1999,878.1048,749.9254,197.1062,18.1084,62.7105,3.1170,1007.6364,0.0000,24.5196,130.2200,23.2336,11.4480
5/7/2015,12,999.9337,757.3000,280.1216,979.5645,992.0528,780.8615,249.8491,18.0982,64.1358,3.9603,1008.0000,0.0000,18.0558,164.5300,23.5488,13.7872
5/7/2015,13,1002.4195,756.6825,289.2805,985.0348,995.9212,782.0226,258.9380,18.1940,63.7737,3.9099,1007.5167,0.0000,19.5617,209.1717,23.0517,14.0503
5/7/2015,14,934.2691,666.2699,347.3626,925.1583,934.4637,699.2104,318.6463,17.9003,62.9893,3.9532,1007.5000,0.0000,28.2088,238.3900,23.2548,14.0317
